"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "Markdown", "Prisma", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\PricingSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 7, 12, 191
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\WhatToAsk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 6, 6, 150
"c:\Users\Nocky\Desktop\dentalize\src\components\providers\TanStackProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 13, 6, 43
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 15, 158
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 11, 110
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\button-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 8, 84
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 6, 61
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 11, 214
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 28, 242
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 319, 0, 0, 2, 37, 358
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 13, 185
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 19, 253
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 14, 144
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\empty.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 10, 105
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 20, 245
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 25, 168
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\input-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 3, 16, 171
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 9, 78
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 15, 194
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\kbd.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 20, 277
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 12, 169
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 11, 128
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 14, 188
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 14, 140
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 660, 0, 0, 12, 55, 727
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 6, 64
